pr_number,rule_id,rule_name,category,severity,weight,triggered,evidence,description,recommendation
2577,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2577,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=2; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2577,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=False; iqr_outlier_feature_count=0,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2579,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=199,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2579,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=35,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2579,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=True; total_changes=86; changed_files=3; security_changes=True; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2579,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=86; changed_files=3; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2579,PR005,Security-sensitive file change,Security,High,20,True,has_security_sensitive_changes=True; security_sensitive_files_changed=1,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2579,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=True; security_sensitive_files_changed=1; has_test_changes=True,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2579,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2579,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=86; changed_files=3,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2579,PR009,Very large pull request,Complexity,High,22,False,total_changes=86; changed_files=3,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2579,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2579,PR011,Risk-bearing PR without reviewer,Governance,High,18,True,requested_reviewer_count=0; total_changes=86; changed_files=3; security_changes=True; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2579,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,True,has_any_iqr_outlier=True; iqr_outlier_feature_count=5,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2582,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=90,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2582,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=16,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2582,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=False; total_changes=19; changed_files=2; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2582,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=19; changed_files=2; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2582,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2582,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2582,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2582,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=19; changed_files=2,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2582,PR009,Very large pull request,Complexity,High,22,False,total_changes=19; changed_files=2,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2582,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2582,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=1; total_changes=19; changed_files=2; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2582,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=True; iqr_outlier_feature_count=1,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2588,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=1153,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2588,PR002,Weak PR description,Documentation,Moderate,8,False,has_description=True; has_detailed_description=True; body_word_count=172,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2588,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=True; total_changes=15; changed_files=3; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2588,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=15; changed_files=3; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2588,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2588,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=True,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2588,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2588,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=15; changed_files=3,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2588,PR009,Very large pull request,Complexity,High,22,False,total_changes=15; changed_files=3,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2588,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=2,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2588,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=15; changed_files=3; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2588,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,True,has_any_iqr_outlier=True; iqr_outlier_feature_count=3,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2592,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=267,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2592,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=48,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2592,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=True; total_changes=61; changed_files=2; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2592,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=61; changed_files=2; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2592,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2592,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=True,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2592,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2592,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=61; changed_files=2,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2592,PR009,Very large pull request,Complexity,High,22,False,total_changes=61; changed_files=2,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2592,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2592,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=61; changed_files=2; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2592,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=True; iqr_outlier_feature_count=1,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2600,PR001,Missing PR description,Documentation,High,18,True,has_description=False; body_length=0,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2600,PR002,Weak PR description,Documentation,Moderate,8,False,has_description=False; has_detailed_description=False; body_word_count=0,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2600,PR003,Substantive change without tests,Testing,High,22,True,has_test_changes=False; total_changes=182; changed_files=5; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2600,PR004,Substantial change without documentation,Documentation,Moderate,10,True,has_documentation_changes=False; total_changes=182; changed_files=5; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2600,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2600,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2600,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2600,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=182; changed_files=5,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2600,PR009,Very large pull request,Complexity,High,22,False,total_changes=182; changed_files=5,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2600,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=6,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2600,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=182; changed_files=5; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2600,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,True,has_any_iqr_outlier=True; iqr_outlier_feature_count=4,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2603,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=85,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2603,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=14,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2603,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=False; total_changes=6; changed_files=1; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2603,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=6; changed_files=1; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2603,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2603,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2603,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2603,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=6; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2603,PR009,Very large pull request,Complexity,High,22,False,total_changes=6; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2603,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2603,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=6; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2603,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=False; iqr_outlier_feature_count=0,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2609,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=111,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2609,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=16,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2609,PR003,Substantive change without tests,Testing,High,22,True,has_test_changes=False; total_changes=3; changed_files=1; security_changes=False; configuration_changes=True,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2609,PR004,Substantial change without documentation,Documentation,Moderate,10,True,has_documentation_changes=False; total_changes=3; changed_files=1; configuration_changes=True,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2609,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2609,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2609,PR007,Configuration change,Operations,Moderate,10,True,has_configuration_changes=True; configuration_files_changed=1,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2609,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=3; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2609,PR009,Very large pull request,Complexity,High,22,False,total_changes=3; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2609,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2609,PR011,Risk-bearing PR without reviewer,Governance,High,18,True,requested_reviewer_count=0; total_changes=3; changed_files=1; security_changes=False; configuration_changes=True,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2609,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=True; iqr_outlier_feature_count=1,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2614,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=230,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2614,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=41,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2614,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=False; total_changes=7; changed_files=1; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2614,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=7; changed_files=1; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2614,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2614,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2614,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2614,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=7; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2614,PR009,Very large pull request,Complexity,High,22,False,total_changes=7; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2614,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=6,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2614,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=7; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2614,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=True; iqr_outlier_feature_count=1,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2619,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=51,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2619,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=9,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2619,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=False; total_changes=2; changed_files=1; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2619,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=2; changed_files=1; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2619,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2619,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2619,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2619,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=2; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2619,PR009,Very large pull request,Complexity,High,22,False,total_changes=2; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2619,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2619,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=2; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2619,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=False; iqr_outlier_feature_count=0,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2622,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=12,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2622,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=2,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2622,PR003,Substantive change without tests,Testing,High,22,True,has_test_changes=False; total_changes=61; changed_files=4; security_changes=False; configuration_changes=True,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2622,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=True; total_changes=61; changed_files=4; configuration_changes=True,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2622,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2622,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2622,PR007,Configuration change,Operations,Moderate,10,True,has_configuration_changes=True; configuration_files_changed=2,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2622,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=61; changed_files=4,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
