repository,pr_number,expected_outcome,period,period_start_date,period_end_date,created_at,html_url,repository_summary,title_summary,body_summary,state_summary,draft_summary,author_login_summary,author_association_summary,created_at_summary,updated_at_summary,closed_at_summary,merged_at_summary,target_branch_summary,source_branch_summary,html_url_summary,labels_summary,was_merged_summary,merge_target_summary,outcome_label_summary,additions_summary,deletions_summary,changed_files_summary,commit_count_summary,raw_data_available_summary,repository_detail,title_detail,body_detail,html_url_detail,author_login_detail,author_association_detail,state_detail,draft_detail,base_branch_detail,head_branch_detail,created_at_detail,updated_at_detail,closed_at_detail,merged_at_detail,was_merged_detail,resolution_hours_detail,merge_hours_detail,additions_detail,deletions_detail,total_changes_detail,changed_files_detail,commit_count_detail,title_length_detail,body_length_detail,body_word_count_detail,labels_detail,label_count_detail,requested_reviewers_detail,requested_reviewer_count_detail,file_records_returned_detail,test_files_changed_detail,documentation_files_changed_detail,configuration_files_changed_detail,security_sensitive_files_changed_detail,files_added_detail,files_modified_detail,files_removed_detail,files_renamed_detail,has_test_changes_detail,has_documentation_changes_detail,has_configuration_changes_detail,has_security_sensitive_changes_detail,expected_outcome_detail,period_detail,period_start_date_detail,period_end_date_detail,actual_outcome_detail,outcome_matches_selection_detail
pallets/flask,2619,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-02-01 22:17:24+00:00,https://github.com/pallets/flask/pull/2619,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,[update] license year,This pull request updates the license year to 2018. ,https://github.com/pallets/flask/pull/2619,josephlin55555,NONE,closed,False,master,patch-1,2018-02-01 22:17:24+00:00,2020-11-14 03:36:08+00:00,2018-02-01 23:12:08+00:00,,False,0.9122222222222224,,1,1,2,1,1,21,51,9,[],0,[],0,1,0,0,0,0,0,1,0,0,False,False,False,False,Closed without merge,2018-Q1,2018-01-01,2018-03-31,Closed without merge,True
pallets/flask,2622,Merged,2018-Q1,2018-01-01,2018-03-31,2018-02-06 16:07:04+00:00,https://github.com/pallets/flask/pull/2622,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,bump dependency versions,closes #2586 ,https://github.com/pallets/flask/pull/2622,davidism,MEMBER,closed,False,master,versions,2018-02-06 16:07:04+00:00,2020-11-14 03:36:08+00:00,2018-02-06 16:14:10+00:00,2018-02-06 16:14:10+00:00,True,0.1183333333333333,0.1183333333333333,29,32,61,4,1,24,12,2,"[""packaging""]",1,[],0,4,0,1,2,0,0,4,0,0,False,True,True,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True
pallets/flask,2630,Merged,2018-Q1,2018-01-01,2018-03-31,2018-02-12 22:32:34+00:00,https://github.com/pallets/flask/pull/2630,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Fix docs for test_request_context,"This corrects the docstring for `test_request_context` to say that it returns a `RequestContext`, rather than a WSGI environment; this is in line with the rest of the documentation, as well as the function's actual behaviour.

Fixes #2627.",https://github.com/pallets/flask/pull/2630,keysmashes,CONTRIBUTOR,closed,False,master,2627-test_request_context-docs,2018-02-12 22:32:34+00:00,2020-11-14 03:36:06+00:00,2018-02-13 01:33:08+00:00,2018-02-13 01:33:08+00:00,True,3.0094444444444446,3.0094444444444446,2,2,4,1,1,33,241,37,[],0,[],0,1,0,0,0,0,0,1,0,0,False,False,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True
pallets/flask,2633,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-02-18 08:13:08+00:00,https://github.com/pallets/flask/pull/2633,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Fix the README to reflect locate_app() in flask/cli.py,"Fix the README to reflect locate_app() in flask/cli.py

Describe what this patch does to fix the issue.

Link to any relevant issues or pull requests.

<!--
Commit checklist:

* add tests that fail without the patch
* ensure all tests pass with ``pytest``
* add documentation to the relevant docstrings or pages
* add ``versionadded`` or ``versionchanged`` directives to relevant docstrings
* add a changelog entry if this patch changes code

Tests, coverage, and docs will be run automatically when you submit the pull
request, but running them yourself can save time.
-->
",https://github.com/pallets/flask/pull/2633,paulrigor,NONE,closed,False,master,master,2018-02-18 08:13:08+00:00,2020-11-14 03:36:06+00:00,2018-02-18 16:11:42+00:00,,False,7.976111111111111,,1,1,2,1,1,54,590,93,[],0,[],0,1,0,0,0,0,0,1,0,0,False,False,False,False,Closed without merge,2018-Q1,2018-01-01,2018-03-31,Closed without merge,True
pallets/flask,2637,Merged,2018-Q1,2018-01-01,2018-03-31,2018-02-24 16:04:26+00:00,https://github.com/pallets/flask/pull/2637,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,rewrite quickstart Unique URLs section,closes #2632 ,https://github.com/pallets/flask/pull/2637,davidism,MEMBER,closed,False,master,quickstart-unique-urls,2018-02-24 16:04:26+00:00,2020-11-14 03:36:04+00:00,2018-02-24 16:10:26+00:00,2018-02-24 16:10:26+00:00,True,0.1,0.1,13,14,27,1,1,38,12,2,"[""docs""]",1,[],0,1,0,1,0,0,0,1,0,0,False,True,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True
pallets/flask,2641,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-02-26 07:19:48+00:00,https://github.com/pallets/flask/pull/2641,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Refactor test codes to PEP8 recommendation,"- '== cond' to 'is cond'
ex) app.templates_auto_reload == False to app.templates_auto_reload is False
- Change about blank lines
- Change field variable names intuitively
- Change about blank lines
- Change about continuation line's visual indent
- Change about importation
",https://github.com/pallets/flask/pull/2641,JoMingyu,NONE,closed,False,master,master,2018-02-26 07:19:48+00:00,2020-11-14 03:36:03+00:00,2018-02-26 07:23:47+00:00,,False,0.0663888888888888,,20,24,44,5,1,42,279,41,[],0,[],0,5,5,0,0,0,0,5,0,0,True,False,False,False,Closed without merge,2018-Q1,2018-01-01,2018-03-31,Closed without merge,True
pallets/flask,2650,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-03-05 09:44:20+00:00,https://github.com/pallets/flask/pull/2650,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Docs: Add example for 'any' route converter,,https://github.com/pallets/flask/pull/2650,greyli,CONTRIBUTOR,closed,False,master,patch-8,2018-03-05 09:44:20+00:00,2020-11-14 03:36:01+00:00,2018-03-05 14:19:12+00:00,,False,4.581111111111111,,4,0,4,1,1,43,0,0,[],0,[],0,1,0,1,0,0,0,1,0,0,False,True,False,False,Closed without merge,2018-Q1,2018-01-01,2018-03-31,Closed without merge,True
pallets/flask,2652,Merged,2018-Q1,2018-01-01,2018-03-31,2018-03-05 23:50:57+00:00,https://github.com/pallets/flask/pull/2652,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Add documentation link in README,,https://github.com/pallets/flask/pull/2652,greyli,CONTRIBUTOR,closed,False,master,patch-8,2018-03-05 23:50:57+00:00,2020-11-14 03:27:09+00:00,2018-03-06 00:45:01+00:00,2018-03-06 00:45:01+00:00,True,0.9011111111111112,0.9011111111111112,1,0,1,1,1,32,0,0,[],0,[],0,1,0,1,0,0,0,1,0,0,False,True,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True
pallets/flask,2672,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-03-26 19:01:47+00:00,https://github.com/pallets/flask/pull/2672,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Add nested blueprints,"Rough implementation of nested blueprints. Open to suggestions.
Fixes #593 ",https://github.com/pallets/flask/pull/2672,jdemilledt,NONE,closed,False,master,master,2018-03-26 19:01:47+00:00,2020-11-14 02:21:44+00:00,2018-03-27 16:57:48+00:00,,False,21.933611111111112,,54,62,116,2,4,21,75,10,[],0,[],0,2,1,0,0,0,0,2,0,0,True,False,False,False,Closed without merge,2018-Q1,2018-01-01,2018-03-31,Closed without merge,True
pallets/flask,2676,Merged,2018-Q1,2018-01-01,2018-03-31,2018-03-29 20:58:11+00:00,https://github.com/pallets/flask/pull/2676,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,rewrite tutorial docs and example,"This is a complete rewrite of the tutorial, both the docs and the example code. The goal is to provide a better foundation for new developers to work with. There's  a bit more code, and it's a bit more complex, but I'm hoping it sets up patterns and concepts better so that developers start with better habits.

* Use the application factory and blueprints from the start.
* Use the instance folder for config and the database.
* Multiple users, stored in the database with hashed passwords.
* Delete posts.
* Build a Wheel file, install it in another virtualenv.
* Override `SECRET_KEY` using config in the instance folder.
* Use other WSGI server in production (Waitress, since it works on Windows).
* 100% test coverage using pytest and coverage.
* All described code links to the API docs.
* General reorganization.

I've removed all the other examples. I'm going to add a JavaScript example back in but wanted to rewrite it as well. That will be the next PR. The other examples are all covered by the tutorial now.

Added a `gh` Sphinx role that adds links to GitHub files. It will select the correct tag on GitHub based on the docs version being built. I'll expand this to work with issues and extract it to pallets-sphinx-themes at some point.

You can find the rendered docs here: http://flask-dev.davidism.com/tutorial/. The only change is in the installation instructions, Flask needs to be installed from GitHub since 1.0 isn't released yet. You can find the example project on my branch: https://github.com/davidism/flask/tree/tutorial/examples/tutorial.

closes #2513 ",https://github.com/pallets/flask/pull/2676,davidism,MEMBER,closed,False,master,tutorial,2018-03-29 20:58:11+00:00,2020-11-14 02:42:43+00:00,2018-04-09 08:09:04+00:00,2018-04-09 08:09:04+00:00,True,251.18138888888888,251.18138888888888,3340,2237,5577,103,1,33,1599,261,"[""docs""]",1,[],0,103,10,32,8,8,35,10,57,1,True,True,True,True,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True
pallets/flask,2682,Closed without merge,2018-Q2,2018-04-01,2018-06-30,2018-04-06 09:25:36+00:00,https://github.com/pallets/flask/pull/2682,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Merge pull request #1 from pallets/master,"update-2018-03-22

Describe what this patch does to fix the issue.

Link to any relevant issues or pull requests.

<!--
Commit checklist:

* add tests that fail without the patch
* ensure all tests pass with ``pytest``
* add documentation to the relevant docstrings or pages
* add ``versionadded`` or ``versionchanged`` directives to relevant docstrings
* add a changelog entry if this patch changes code

Tests, coverage, and docs will be run automatically when you submit the pull
request, but running them yourself can save time.
-->
",https://github.com/pallets/flask/pull/2682,zhi-guan,NONE,closed,False,master,master,2018-04-06 09:25:36+00:00,2020-11-14 03:36:00+00:00,2018-04-06 09:28:57+00:00,,False,0.0558333333333333,,0,0,0,0,1,41,553,86,[],0,[],0,0,0,0,0,0,0,0,0,0,False,False,False,False,Closed without merge,2018-Q2,2018-04-01,2018-06-30,Closed without merge,True
pallets/flask,2685,Merged,2018-Q2,2018-04-01,2018-06-30,2018-04-09 07:13:09+00:00,https://github.com/pallets/flask/pull/2685,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,rework context docs,"closes #1151 

Mostly keeps the same sections and concepts. References to old version behavior is removed since it's no longer relevant. Added more explanation about what to do about ""no app / request context"" errors, since it comes up constantly on Stack Overflow. Added more cross references and cleaned up many API docs as well to make them more consistent. Added documentation for `_AppCtxGlobals` rather than recreating it in the `g` docs. Added documentation about the `test_request_context` arguments.

This is an inherently advanced topic, so I don't think there's any way to make it completely clear to all readers. Hopefully it's at least easier to follow to get an idea of how the process works.",https://github.com/pallets/flask/pull/2685,davidism,MEMBER,closed,False,master,app-context-docs,2018-04-09 07:13:09+00:00,2020-11-14 03:36:00+00:00,2018-04-09 07:22:17+00:00,2018-04-09 07:22:17+00:00,True,0.1522222222222222,0.1522222222222222,542,375,917,7,1,19,710,115,"[""docs""]",1,[],0,7,0,3,0,0,0,7,0,0,False,True,False,False,Merged,2018-Q2,2018-04-01,2018-06-30,Merged,True
pallets/flask,2699,Merged,2018-Q2,2018-04-01,2018-06-30,2018-04-12 18:09:00+00:00,https://github.com/pallets/flask/pull/2699,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,add javascript ajax example,"I removed the jQuery example when rewriting the tutorial. This adds a more general JavaScript example back in, demonstrating the same simple `add` endpoint but with `XMLHttpRequest`, `fetch`, and `jQuery`.",https://github.com/pallets/flask/pull/2699,davidism,MEMBER,closed,False,master,javascript,2018-04-12 18:09:00+00:00,2020-11-14 02:42:41+00:00,2018-04-12 18:28:50+00:00,2018-04-12 18:28:50+00:00,True,0.3305555555555555,0.3305555555555555,341,13,354,21,1,27,205,30,[],0,[],0,21,2,4,5,1,14,7,0,0,True,True,True,True,Merged,2018-Q2,2018-04-01,2018-06-30,Merged,True
pallets/flask,2719,Merged,2018-Q2,2018-04-01,2018-06-30,2018-04-24 00:09:59+00:00,https://github.com/pallets/flask/pull/2719,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Fix typo in docs,`static_url` --> `static_url_path`,https://github.com/pallets/flask/pull/2719,greyli,CONTRIBUTOR,closed,False,master,patch-9,2018-04-24 00:09:59+00:00,2020-11-14 03:27:22+00:00,2018-04-24 00:57:32+00:00,2018-04-24 00:57:32+00:00,True,0.7925,0.7925,1,1,2,1,1,16,34,3,[],0,[],0,1,0,1,0,0,0,1,0,0,False,True,False,False,Merged,2018-Q2,2018-04-01,2018-06-30,Merged,True
pallets/flask,2730,Merged,2018-Q2,2018-04-01,2018-06-30,2018-04-27 11:44:50+00:00,https://github.com/pallets/flask/pull/2730,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Fix registering partials as view functions,,https://github.com/pallets/flask/pull/2730,ThiefMaster,MEMBER,closed,False,1.0-maintenance,fix-nameless-view-funcs,2018-04-27 11:44:50+00:00,2020-11-14 03:27:21+00:00,2018-04-27 11:55:39+00:00,2018-04-27 11:55:39+00:00,True,0.1802777777777778,0.1802777777777778,5,1,6,3,1,42,0,0,"[""bug""]",1,[],0,3,1,1,0,0,0,3,0,0,True,True,False,False,Merged,2018-Q2,2018-04-01,2018-06-30,Merged,True
pallets/flask,2740,Closed without merge,2018-Q2,2018-04-01,2018-06-30,2018-04-28 14:03:44+00:00,https://github.com/pallets/flask/pull/2740,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Adding Windows PowerShell specfic docs,"Describe what this patch does to fix the issue.
Adding Windows PowerShell specfic docs
",https://github.com/pallets/flask/pull/2740,powellnathanj,NONE,closed,False,master,master,2018-04-28 14:03:44+00:00,2020-11-14 02:42:39+00:00,2018-04-28 14:21:35+00:00,,False,0.2975,,11,0,11,1,1,38,87,14,"[""docs""]",1,[],0,1,0,1,0,0,0,1,0,0,False,True,False,False,Closed without merge,2018-Q2,2018-04-01,2018-06-30,Closed without merge,True
pallets/flask,2746,Merged,2018-Q2,2018-04-01,2018-06-30,2018-04-29 22:35:46+00:00,https://github.com/pallets/flask/pull/2746,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,allow empty prefix and no lead slash in bp route,"closes #2742

Fix `url_prefx=''` or `url_prefix='/'` when Blueprint routes don't begin with a leading slash. Technically, routes should start with a leading slash, so don't rely on this behavior.",https://github.com/pallets/flask/pull/2746,davidism,MEMBER,closed,False,1.0-maintenance,2742-empty-url-prefix,2018-04-29 22:35:46+00:00,2020-11-14 03:27:20+00:00,2018-04-29 22:46:59+00:00,2018-04-29 22:46:59+00:00,True,0.1869444444444444,0.1869444444444444,1,1,2,1,1,48,197,29,"[""blueprints""]",1,[],0,1,0,0,0,0,0,1,0,0,False,False,False,False,Merged,2018-Q2,2018-04-01,2018-06-30,Merged,True
pallets/flask,2753,Closed without merge,2018-Q2,2018-04-01,2018-06-30,2018-05-02 15:36:35+00:00,https://github.com/pallets/flask/pull/2753,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,1.0 release codename,"The release is incomplete without a codename so I propose to name the 1.0 release codename ""Vodka"" 🥂.",https://github.com/pallets/flask/pull/2753,decaz,CONTRIBUTOR,closed,False,master,fix-1.0-codename,2018-05-02 15:36:35+00:00,2020-11-14 03:27:13+00:00,2018-05-24 13:39:26+00:00,,False,526.0475,,1,1,2,1,1,20,101,18,[],0,[],0,1,0,1,0,0,0,1,0,0,False,True,False,False,Closed without merge,2018-Q2,2018-04-01,2018-06-30,Closed without merge,True
pallets/flask,2765,Merged,2018-Q2,2018-04-01,2018-06-30,2018-05-08 16:10:09+00:00,https://github.com/pallets/flask/pull/2765,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,Add option to not overwrite debug flag in cli,"This is intended for custom CLIs that may load a config file which already sets the debug flag and does not make use of the `FLASK_*` env vars at all.

Filed against 1,0-maintenance since this is functionality that was present before and was lost between 0.12 and 1.0.",https://github.com/pallets/flask/pull/2765,ThiefMaster,MEMBER,closed,False,1.0-maintenance,custom-cli-ignore-debug,2018-05-08 16:10:09+00:00,2020-11-14 02:33:32+00:00,2018-06-14 11:31:01+00:00,2018-06-14 11:31:01+00:00,True,883.3477777777778,883.3477777777778,39,9,48,3,1,45,270,48,"[""cli""]",1,"[""davidism""]",1,3,1,1,0,0,0,3,0,0,True,True,False,False,Merged,2018-Q2,2018-04-01,2018-06-30,Merged,True
pallets/flask,2775,Closed without merge,2018-Q2,2018-04-01,2018-06-30,2018-05-12 14:17:46+00:00,https://github.com/pallets/flask/pull/2775,,,,,,,,,,,,,,,,,,,,,,,,pallets/flask,"Hi, I just translate readme.rst to Korean","

<!--
Commit checklist:

* add tests that fail without the patch
* ensure all tests pass with ``pytest``
* add documentation to the relevant docstrings or pages
* add ``versionadded`` or ``versionchanged`` directives to relevant docstrings
* add a changelog entry if this patch changes code

Tests, coverage, and docs will be run automatically when you submit the pull
request, but running them yourself can save time.
-->


I translated it because I have not found any other translation in Korean yet.
I am sorry to bother you if it already exists.
",https://github.com/pallets/flask/pull/2775,minthings,NONE,closed,False,master,master,2018-05-12 14:17:46+00:00,2020-11-14 03:27:16+00:00,2018-05-12 14:22:14+00:00,,False,0.0744444444444444,,69,76,145,2,17,41,563,92,[],0,[],0,2,0,2,0,0,1,0,1,0,False,True,False,False,Closed without merge,2018-Q2,2018-04-01,2018-06-30,Closed without merge,True
