pr_number,policy_risk_score,policy_risk_band,triggered_rule_count,critical_rule_count,high_rule_count,triggered_rules,triggered_categories,recommended_actions,manual_review_required
2641,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
2650,18,Low,1,0,1,PR001,Documentation,"Add a clear description covering the purpose, scope, expected behaviour and validation performed.",False
2652,18,Low,1,0,1,PR001,Documentation,"Add a clear description covering the purpose, scope, expected behaviour and validation performed.",False
2672,28,Moderate,3,0,0,PR002 | PR004 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Update user, developer or operational documentation where the change affects expected behaviour. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
2676,80,Critical,5,0,3,PR005 | PR007 | PR009 | PR011 | PR012,Complexity | Governance | Operations | Security,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Split the PR where practical and require a structured review plan before approval. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
2682,0,Low,0,0,0,,,,False
2685,62,High,4,0,2,PR003 | PR008 | PR011 | PR012,Complexity | Governance | Testing,"Add or update automated tests, or document why additional tests are not required. | Consider splitting the change or assign additional review capacity to reduce review risk. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
2699,78,Critical,6,0,2,PR002 | PR005 | PR007 | PR008 | PR011 | PR012,Complexity | Documentation | Governance | Operations | Security,"Expand the description with implementation context, testing evidence and reviewer guidance. | Require focused security review and verify that secrets, authentication and permission impacts have been assessed. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Consider splitting the change or assign additional review capacity to reduce review risk. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
2719,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2730,18,Low,1,0,1,PR001,Documentation,"Add a clear description covering the purpose, scope, expected behaviour and validation performed.",False
2740,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2746,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2753,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2765,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
2775,40,High,3,0,1,PR003 | PR010 | PR012,Complexity | Testing,"Add or update automated tests, or document why additional tests are not required. | Review commit organisation and consider squashing or restructuring commits for easier review. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
2781,32,Moderate,2,0,1,PR003 | PR012,Complexity | Testing,"Add or update automated tests, or document why additional tests are not required. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
2783,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
2793,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2797,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2808,18,Low,1,0,1,PR001,Documentation,"Add a clear description covering the purpose, scope, expected behaviour and validation performed.",False
2809,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
2834,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2835,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2849,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
2850,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2854,0,Low,0,0,0,,,,False
2855,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2858,0,Low,0,0,0,,,,False
2859,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2861,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
2862,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
2871,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2872,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2874,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2877,40,High,3,0,1,PR002 | PR003 | PR012,Complexity | Documentation | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
2889,0,Low,0,0,0,,,,False
2898,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
2904,0,Low,0,0,0,,,,False
2910,0,Low,0,0,0,,,,False
2913,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2915,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2917,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2921,0,Low,0,0,0,,,,False
2928,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
2929,60,High,4,0,2,PR003 | PR007 | PR011 | PR012,Complexity | Governance | Operations | Testing,"Add or update automated tests, or document why additional tests are not required. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
2930,0,Low,0,0,0,,,,False
2934,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
2940,0,Low,0,0,0,,,,False
2944,0,Low,0,0,0,,,,False
2955,0,Low,0,0,0,,,,False
2963,0,Low,0,0,0,,,,False
2969,40,High,3,0,1,PR002 | PR003 | PR012,Complexity | Documentation | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
2973,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
2983,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
2986,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
2993,30,Moderate,2,0,1,PR002 | PR003,Documentation | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required.",False
3001,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3011,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3015,0,Low,0,0,0,,,,False
3030,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3031,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3042,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3049,18,Low,1,0,1,PR001,Documentation,"Add a clear description covering the purpose, scope, expected behaviour and validation performed.",False
3052,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3056,0,Low,0,0,0,,,,False
3058,0,Low,0,0,0,,,,False
3059,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3060,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3063,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3065,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3067,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3069,0,Low,0,0,0,,,,False
3073,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3075,0,Low,0,0,0,,,,False
3079,0,Low,0,0,0,,,,False
3082,0,Low,0,0,0,,,,False
3100,0,Low,0,0,0,,,,False
3101,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3104,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3109,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3112,0,Low,0,0,0,,,,False
3113,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3121,0,Low,0,0,0,,,,False
3128,18,Low,1,0,1,PR001,Documentation,"Add a clear description covering the purpose, scope, expected behaviour and validation performed.",False
3129,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3136,18,Low,1,0,1,PR001,Documentation,"Add a clear description covering the purpose, scope, expected behaviour and validation performed.",False
3137,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3149,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3156,68,High,5,0,2,PR002 | PR003 | PR004 | PR007 | PR011,Documentation | Governance | Operations | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval.",True
3159,28,Moderate,2,0,1,PR001 | PR012,Complexity | Documentation,"Add a clear description covering the purpose, scope, expected behaviour and validation performed. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3173,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3177,32,Moderate,2,0,1,PR003 | PR012,Complexity | Testing,"Add or update automated tests, or document why additional tests are not required. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3183,98,Critical,7,0,3,PR002 | PR004 | PR005 | PR007 | PR009 | PR011 | PR012,Complexity | Documentation | Governance | Operations | Security,"Expand the description with implementation context, testing evidence and reviewer guidance. | Update user, developer or operational documentation where the change affects expected behaviour. | Require focused security review and verify that secrets, authentication and permission impacts have been assessed. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Split the PR where practical and require a structured review plan before approval. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3184,78,Critical,6,0,2,PR002 | PR003 | PR004 | PR007 | PR011 | PR012,Complexity | Documentation | Governance | Operations | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3192,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3199,40,High,3,0,1,PR002 | PR003 | PR012,Complexity | Documentation | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3200,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3205,0,Low,0,0,0,,,,False
3230,78,Critical,5,0,3,PR001 | PR003 | PR004 | PR007 | PR011,Documentation | Governance | Operations | Testing,"Add a clear description covering the purpose, scope, expected behaviour and validation performed. | Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval.",True
3236,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3238,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3244,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3260,0,Low,0,0,0,,,,False
3267,0,Low,0,0,0,,,,False
3274,18,Low,1,0,1,PR001,Documentation,"Add a clear description covering the purpose, scope, expected behaviour and validation performed.",False
3276,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3278,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3280,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3282,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3290,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3296,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3299,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3308,0,Low,0,0,0,,,,False
3309,0,Low,0,0,0,,,,False
3321,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3324,0,Low,0,0,0,,,,False
3333,0,Low,0,0,0,,,,False
3336,0,Low,0,0,0,,,,False
3337,0,Low,0,0,0,,,,False
3338,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3344,0,Low,0,0,0,,,,False
3360,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3369,48,High,3,0,2,PR005 | PR011 | PR012,Complexity | Governance | Security,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3376,68,High,5,0,2,PR002 | PR003 | PR007 | PR011 | PR012,Complexity | Documentation | Governance | Operations | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3378,0,Low,0,0,0,,,,False
3381,0,Low,0,0,0,,,,False
3382,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3386,48,High,4,0,1,PR004 | PR007 | PR011 | PR012,Complexity | Documentation | Governance | Operations,"Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3390,0,Low,0,0,0,,,,False
3395,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3397,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3401,68,High,5,0,2,PR002 | PR003 | PR007 | PR011 | PR012,Complexity | Documentation | Governance | Operations | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3405,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3407,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3408,0,Low,0,0,0,,,,False
3412,38,Moderate,3,0,1,PR007 | PR011 | PR012,Complexity | Governance | Operations,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3419,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3421,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3425,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3426,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3432,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3434,32,Moderate,2,0,1,PR003 | PR012,Complexity | Testing,"Add or update automated tests, or document why additional tests are not required. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3437,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3456,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3458,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3460,0,Low,0,0,0,,,,False
3461,0,Low,0,0,0,,,,False
3467,0,Low,0,0,0,,,,False
3473,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3479,0,Low,0,0,0,,,,False
3483,0,Low,0,0,0,,,,False
3487,68,High,5,0,2,PR002 | PR003 | PR004 | PR007 | PR011,Documentation | Governance | Operations | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval.",True
3488,68,High,5,0,2,PR002 | PR003 | PR004 | PR007 | PR011,Documentation | Governance | Operations | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval.",True
3489,52,High,4,0,1,PR003 | PR004 | PR007 | PR012,Complexity | Documentation | Operations | Testing,"Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3491,52,High,4,0,1,PR003 | PR004 | PR007 | PR012,Complexity | Documentation | Operations | Testing,"Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3492,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3497,68,High,5,0,2,PR002 | PR003 | PR004 | PR007 | PR011,Documentation | Governance | Operations | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval.",True
3507,40,High,3,0,1,PR002 | PR003 | PR012,Complexity | Documentation | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3510,0,Low,0,0,0,,,,False
3517,0,Low,0,0,0,,,,False
3524,70,Critical,5,0,2,PR003 | PR004 | PR007 | PR011 | PR012,Complexity | Documentation | Governance | Operations | Testing,"Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3530,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3537,18,Low,1,0,1,PR001,Documentation,"Add a clear description covering the purpose, scope, expected behaviour and validation performed.",False
3544,0,Low,0,0,0,,,,False
3548,0,Low,0,0,0,,,,False
3554,88,Critical,6,0,3,PR002 | PR005 | PR007 | PR009 | PR011 | PR012,Complexity | Documentation | Governance | Operations | Security,"Expand the description with implementation context, testing evidence and reviewer guidance. | Require focused security review and verify that secrets, authentication and permission impacts have been assessed. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Split the PR where practical and require a structured review plan before approval. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3563,18,Low,2,0,0,PR002 | PR012,Complexity | Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3567,60,High,4,0,2,PR003 | PR004 | PR007 | PR011,Documentation | Governance | Operations | Testing,"Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval.",True
3579,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3581,0,Low,0,0,0,,,,False
3587,32,Moderate,2,0,1,PR003 | PR012,Complexity | Testing,"Add or update automated tests, or document why additional tests are not required. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3601,0,Low,0,0,0,,,,False
3605,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3616,88,Critical,6,0,3,PR001 | PR003 | PR004 | PR007 | PR011 | PR012,Complexity | Documentation | Governance | Operations | Testing,"Add a clear description covering the purpose, scope, expected behaviour and validation performed. | Add or update automated tests, or document why additional tests are not required. | Update user, developer or operational documentation where the change affects expected behaviour. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3622,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3624,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3636,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3643,38,Moderate,3,0,1,PR007 | PR011 | PR012,Complexity | Governance | Operations,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",False
3644,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3648,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3652,30,Moderate,2,0,1,PR002 | PR003,Documentation | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required.",False
3657,30,Moderate,2,0,1,PR002 | PR003,Documentation | Testing,"Expand the description with implementation context, testing evidence and reviewer guidance. | Add or update automated tests, or document why additional tests are not required.",False
3659,8,Low,1,0,0,PR002,Documentation,"Expand the description with implementation context, testing evidence and reviewer guidance.",False
3669,62,High,4,0,2,PR003 | PR008 | PR011 | PR012,Complexity | Governance | Testing,"Add or update automated tests, or document why additional tests are not required. | Consider splitting the change or assign additional review capacity to reduce review risk. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3670,88,Critical,6,0,3,PR005 | PR007 | PR009 | PR010 | PR011 | PR012,Complexity | Governance | Operations | Security,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed. | Confirm environment impact, deployment sequencing, rollback instructions and configuration validation. | Split the PR where practical and require a structured review plan before approval. | Review commit organisation and consider squashing or restructuring commits for easier review. | Assign an appropriate reviewer before the PR progresses toward approval. | Perform additional manual review because several PR characteristics are unusual for this repository.",True
3671,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
3677,10,Low,1,0,0,PR012,Complexity,Perform additional manual review because several PR characteristics are unusual for this repository.,False
