feature_name,data_type,description,source,availability_timing,leakage_status,proposed_use,missing_values,unique_values
has_test_changes,bool,Boolean showing whether at least one test file was changed.,Derived from test_files_changed,Final extracted snapshot,Possible temporal contamination,Test-gap detection and risk scoring,0,2
has_documentation_changes,bool,Boolean showing whether documentation files were changed.,Derived from documentation_files_changed,Final extracted snapshot,Possible temporal contamination,Change classification,0,2
has_configuration_changes,bool,Boolean showing whether configuration or build files were changed.,Derived from configuration_files_changed,Final extracted snapshot,Possible temporal contamination,Change-risk scoring,0,2
has_security_sensitive_changes,bool,Boolean showing whether security-sensitive files were changed.,Derived from security-sensitive filenames,Final extracted snapshot,Possible temporal contamination,Security-review requirement,0,1
review_count,int64,Total number of formal GitHub review submissions.,GitHub reviews endpoint,Available after reviews occur,Yes for creation-time prediction,Review-stage intelligence,0,1
unique_reviewer_count,int64,Number of distinct users who submitted formal reviews.,Derived from review records,Available after reviews occur,Yes for creation-time prediction,Review-effort analysis,0,1
approved_review_count,int64,Number of formal reviews with APPROVED status.,Derived from review records,Available after approval,Severe leakage for outcome prediction,Review-stage reporting only,0,1
changes_requested_count,int64,Number of formal reviews requesting changes.,Derived from review records,Available after review,Yes for creation-time prediction,Review-complexity analysis,0,1
commented_review_count,int64,Number of formal review submissions recorded as comments.,Derived from review records,Available after review,Yes for creation-time prediction,Review-stage analysis,0,1
dismissed_review_count,int64,Number of formal reviews whose decision was dismissed.,Derived from review records,Available later in the lifecycle,Yes,Governance reporting only,0,1
first_review_at,object,Timestamp of the earliest formal review.,Derived from review records,Available only after the first review,Direct leakage for first-review prediction,Target construction or operational reporting,10,0
first_review_hours,object,Hours between PR creation and the first formal review.,Derived from created_at and first_review_at,Known only after the first review,Target or post-event feature,Potential review-delay target,10,0
ci_check_count,int64,Number of GitHub check runs associated with the latest PR commit.,GitHub check-runs endpoint,Available after CI starts,Yes for creation-time prediction,CI status analysis,0,4
ci_success_count,int64,Number of CI checks with a successful conclusion.,Derived from check runs,Available after CI completes,Yes for early prediction,Release-readiness assessment,0,8
ci_failure_count,int64,"Number of CI checks that failed, timed out or required action.",Derived from check runs,Available after CI completes,Yes for CI failure prediction,CI failure analysis and change-risk scoring,0,4
ci_cancelled_count,int64,Number of CI checks that were cancelled.,Derived from check runs,Available after CI execution,Yes for early prediction,CI process reporting,0,1
ci_neutral_count,int64,Number of CI checks with a neutral result.,Derived from check runs,Available after CI execution,Yes for early prediction,CI status analysis,0,1
ci_skipped_count,int64,Number of CI checks that were skipped.,Derived from check runs,Available after CI execution,Yes for early prediction,CI process analysis,0,1
ci_other_count,int64,Number of CI checks with an unclassified or missing conclusion.,Derived from check runs,Available after CI execution,Yes for early prediction,Data-quality and CI reporting,0,1
ci_has_failure,bool,Boolean showing whether one or more CI checks failed.,Derived from CI conclusions,Known after CI results are available,Target leakage for CI failure prediction,CI analysis and review-stage risk scoring,0,2
resolution_hours,float64,"Hours from PR creation until closure, regardless of merge outcome.",Derived from created_at and closed_at,Known only after closure,Outcome information,Lifecycle analysis only,0,10
merge_hours,float64,Hours from PR creation until merge.,Derived from created_at and merged_at,Known only after merge,Direct target information,Merge-delay target construction,5,5
